"fact_id","weather_key","county_key","air_key","ypll","fair_poor_health","physically_unhealthy","mentally_unhealthy","smokers","obese","drinking","unemployed","uninsured"
4847,303101,59431,26660,"10700.3","19.19","4.17","4.22","21.42","35.90","18.62","7.26","5.87"
4848,303102,59432,26661,"10213.5","20.57","4.54","4.69","20.70","34.10","17.01","6.34","7.17"
4849,303103,67500,26662,"10641.6","19.66","4.52","5.18","26.83","38.10","16.90","5.87","6.95"
4850,303220,7017,26686,"7958.5","13.27","4.05","3.17","31.64","28.60","18.18","6.20","12.20"
4851,303221,59433,26687,"7709.8","13.00","4.00","3.20","31.60","28.60","21.30","9.60","13.90"
4852,303222,59434,26688,"7022.4","13.50","4.50","2.90","27.70","28.30","16.30","9.60","14.50"
4853,303223,59435,26689,"7363.4","12.60","4.00","3.00","24.40","28.30","13.40","8.70","16.30"
4854,303224,59436,26690,"7363.4","12.20","3.10","3.20","20.70","31.60","13.30","6.78","14.59"
4855,303225,59437,26691,"8606.5","12.20","3.10","3.20","20.70","32.60","13.30","6.73","13.70"
4856,303226,59438,26692,"8126.7","14.20","3.60","3.90","20.00","34.20","17.40","5.22","14.14"
4857,303227,59439,26693,"7058.3","16.71","4.05","3.91","17.80","27.60","18.95","4.66","10.07"
4858,303228,59440,26694,"6933.2","16.98","3.99","4.16","20.08","26.80","18.22","4.53","8.78"
4859,303229,59441,26695,"7661","16.98","3.99","4.16","20.08","27.10","18.22","4.51","7.27"
4860,303230,59442,26696,"7654.2","15.43","3.86","4.26","17.48","30.80","20.17","4.34","7.55"
4861,303231,67501,26697,"7276.2","18.60","4.42","5.21","23.00","33.40","17.93","3.94","8.66"
4862,303348,7028,26729,"6008.2","12.77","2.57","2.85","28.34","28.40","20.24","5.80","13.90"
4863,303349,59443,26730,"6147.6","13.00","2.80","2.80","26.90","29.80","21.80","8.50","13.40"
4864,303350,59444,26731,"6017.7","12.00","2.70","3.00","26.30","28.90","24.60","8.40","12.60"
4865,303351,59445,26732,"6043","13.60","3.00","3.10","23.50","28.90","25.40","7.10","13.60"
4866,303352,59446,26733,"6043","13.60","3.10","3.40","20.50","28.30","22.90","6.43","13.13"
4867,303353,59447,26734,"6117.9","13.60","3.10","3.40","20.50","24.90","22.90","6.93","11.88"
4868,303354,59448,26735,"6289.3","13.40","3.30","3.70","17.60","26.40","19.80","5.65","11.53"
4869,303355,59449,26736,"6334","14.15","3.65","3.88","17.70","26.70","19.78","4.36","9.36"
4870,303356,59450,26737,"6568.6","12.80","3.40","3.56","17.63","28.80","17.89","4.82","7.04"
4871,303357,59451,26738,"7575.1","12.80","3.40","3.56","17.63","27.20","17.89","5.16","5.64"
4872,303358,59452,26739,"7608.9","15.16","3.75","4.17","17.39","25.30","18.73","4.69","6.32"
4873,303359,67502,26740,"7239.2","16.19","3.79","4.51","21.09","27.40","20.79","3.69","7.23"
4874,303476,7039,26772,"10446.1",NULL,"7.01","8.30",NULL,"32.50","13.64","5.50","11.30"
